Date,Subject,Message
10/29/2021,6 Line - Weeknight and Weekday Planned Service Changes,"NIGHTS Nov 2 - 3, Tue 11:45 PM to Wed 5 AM Nov 4 - 5, Thu 11:45 PM to Fri 5 AM Downtown 6 service will run express from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Nov 1 - 2, Mon 11:45 PM to Tue 5 AM Nov 3 - 4, Wed 11:45 PM to Thu 5 AM Manhattan-bound 6 service will skip Longwood Av, E 149 St, E 143 St, Cypress Av, and Brook Av because of signal maintenance. Nov 2 - 5, Tue to Fri, 12:01 AM to 5 AM 6 service will run in two sections because of signal maintenance: 1. Between Pelham Bay Park and 125 St. 2. Between 125 St and Brooklyn Bridge. Transfer at 125 St to continue your trip. DAYS Nov 2 - 5, Tue to Fri, 10 AM to 1 PM Downtown 6 express service will run local from Parkchester to 3 Av-138 St because of track replacement. Nov 2 - 5, Tue to Fri, 1 PM to 3:30 PM Uptown 6 express service will run local from 3 Av-138 St to Parkchester because of track replacement. Nov 2 - 5, Tue to Fri, 10 AM to 3:30 PM The last stop for some trains headed toward Pelham Bay Park will be 3 Av-138 St because of track replacement. Transfer at 3 Av-138 St to continue your trip. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/29/2021,4 Line - Weeknight and Ongoing Planned Service Changes,"NIGHTS Nov 2 - 3, Tue 11:45 PM to Wed 5 AM Nov 4 - 5, Thu 11:45 PM to Fri 5 AM Downtown 4 service will run express from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Nov 2 & 4, Tue and Thu, beginning 12:01 AM Downtown 4 service will make local stops from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. Nov 2 & 4, Tue and Thu, beginning 12:01 AM Uptown 4 service will make local stops from Grand Central-42 St to 125 St because of signal maintenance. Ongoing, Mon to Fri, until Tuesday, Nov 30, 2021 Rush hour 4 service will stop at 138 St-Grand Concourse in both directions because of accessibility improvements."
10/28/2021,"MANH, D Train, Trains Rerouted","Northbound D trains are running along the A line from W 4 St-Wash Sq to 59 St-Columbus Circle while our crews perform switch maintenance near 42 St-Bryant Pk. For service to/from bypassed stations, take a southbound train."
10/28/2021,"MANH, N and Q Trains, Stations Skipped","Southbound N and Q trains are bypassing 49 St while we perform track maintenance at Times Sq-42 St. For service to/from 49 St, take a northbound train."
10/27/2021,"MANH, 1 Train, Delays",You may wait longer for a 1 train after our maintenance teams fixed a switch problem at South Ferry.
10/27/2021,N Line - Weekend Planned Service Change,"Oct 30 - 31, Sat and Sun, 5:45 AM to 8 PM No N trains between Stillwell Av and 86 St because of track maintenance. Take free shuttle buses. N trains will run between 86 St and Ditmars Blvd. Transfer between shuttle buses and N trains at 86 St. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/27/2021,D Line - Weekend and Ongoing Planned Service Changes,"Oct 29 - Nov 1, Fri 9:45 PM to Mon 5 AM No D trains between 205 St and Bedford Pk Blvd because of track maintenance. Take free shuttle buses. D trains will run between Bedford Pk Blvd and Bay 50 St. Transfer between shuttle buses and D trains at Bedford Pk Blvd. Oct 29 - Nov 1, Fri 10 PM to Mon 5 AM Uptown D trains will stop at 135 St because of track maintenance. Until January 2022 D trains will not run between Bay 50 St and Coney Island-Stillwell Av because of flood protection. F/Q trains will continue to serve Stillwell Av. D trains will run between 205 St and Bay 50 St. Free shuttle buses will run between Bay 50 St and Stillwell Av. Transfer between buses and D trains at Bay 50 St. As a reminder, Bay 50 St D station is not accessible. For local travel, the Bay Pkwy D station is the nearest accessible option. Transfer to/from the B82 bus at Bay Pkwy. Note: On Sat and Sun, from 5:45 AM to 8 PM, N trains will run to/from 86 St, with free shuttle buses running between 86 St and Stillwell Av."
10/27/2021,A Line - Weekend Planned Service Changes,"Oct 29 - Nov 1, Fri 10 PM to Mon 5 AM Uptown A trains will make local stops at 135 St, 155 St, and 163 St because of track maintenance. Oct 29 - Nov 1, Fri 10 PM to Mon 5 AM Downtown A trains will make local stops at 50 St, 23 St, and Spring St because of signal modernization."
10/27/2021,5 Line - Weekend Planned Service Changes,"Oct 29 - Nov 1, Fri 11:45 PM to Mon 5 AM No 5 service between Dyre Av and E 180 St because of track replacement. Take free shuttle buses. 5 service will run between E 180 St and Bowling Green, days/evenings, except Sunday morning. Transfer between free shuttle buses and 2/5 trains at E 180 St. Oct 31, Sunday, 7:45 AM to 11 AM No 5 service between E 180 St and Bowling Green because of track maintenance. Take the 2 and/or 4. 5 service will be suspended. Take the 2 between E 180 St and 149 St-Grand Concourse. Take the 4 between 149 St-Grand Concourse and Bowling Green. Transfer at E 180 St 2/5 or 149 St-GC 2/4. These service changes affect one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/27/2021,2 Line - Weekend Planned Service Changes,"Oct 29 - Nov 1, Fri 9:45 PM to Mon 5 AM Manhattan-bound 2 service will skip Eastern Pkwy, Grand Army Plaza, and Bergen St because of structural improvements. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Oct 31, Sunday, 4:45 AM to 10 AM Downtown 2 service will skip Jackson Av because of track maintenance. Oct 31, Sunday, 7:30 AM to 10 AM 2 service will run every 15 minutes because of track maintenance."
10/27/2021,"QNS, E and F Trains, Slow Speeds",Southbound E and F trains are running at slower speeds while our crews perform track maintenance near Kew Gardens-Union Tpke.
10/26/2021,"QNS, A Train, Delays",Northbound A trains are delayed while our crews address a signal malfunction near 88 St.
10/26/2021,"MANH, 6 Train, Delays",6 trains are delayed entering and leaving Brooklyn Bridge-City Hall while our crews work to correct a door malfunction on a train at that station.
10/26/2021,"MANH, 4 Train, Part Suspended",There are delays and service changes in 4 trains while we perform track maintenance at Wall St. Some downtown 4 trains end at Brooklyn Bridge-City Hall. Some northbound 4 trains end at Bowling Green.
10/25/2021,"MANH, C and E Trains, Some Reroutes",Southbound C E trains are delayed and/or rerouted while we address a signal malfunction at W 4 St-Wash Sq. Some southbound C trains are running on the express track from 59 St-Columbus Circle to Canal St. Some southbound E trains are running on the express track from 42 St-Port Authority Bus Terminal to Canal St.
10/25/2021,"QNS, 7 Train, Delays",7 trains are running with delays in both directions because of track maintenance between Queensboro Plaza and 33 St-Rawson St.
10/25/2021,"E and F Trains, Delays",Southbound E and F trains are running at slower speeds in Queens while we perform signal maintenance along the Queens Blvd line.
10/25/2021,"QNS, E and F Trains, Slow Speeds",E F trains may run at slower speeds in both directions in Queens while we conduct signal maintenance work near 63 Dr-Rego Park.
10/25/2021,"BKLYN, G Train, Delays",Northbound G trains are delayed while we perform track maintenance at Greenpoint Av.
10/25/2021,"MANH, 2 and 3 Trains, Delays",2 3 trains have resumed regular service between Chambers St and Wall St after our crews performed temporary track maintenance at Chambers St. Continue to expect delays while we work to get trains back on schedule.
10/25/2021,"1, 2, and 3 Trains, Multiple Impacts",2 3 trains are delayed and/or rerouted because of temporary track maintenance at Chambers St. There is no 2 3 service between Chambers St and Wall St. 2 3 trains will run on the 1 line between Chambers St and Rector St.
10/24/2021,"MANH, D and F Trains, Multiple Impacts",Norwood-bound D trains are rerouted on the local track from W 4 St-Wash Sq to 34 St-Herald Sq while we troubleshoot a signal malfunction in the tunnel between W 4 St-Wash Sq and 34 St-Herald Sq. You may wait longer for F trains while sharing the tracks with rerouted trains.
10/24/2021,"MANH, 2 and 3 Trains, Delays",Northbound 2 and 3 trains are delayed while our crews perform track maintenance between Chambers St and Franklin St.
10/24/2021,"MANH, 1 and 2 Trains, Local to Express","Northbound 1 and 2 trains are running on the express track from 72 St to 96 St while our crews perform track maintenance near 72 St. For service to/from bypassed stations, take a southbound train."
10/23/2021,"QNS, E and F Trains, Delays",Northbound E and F trains are delayed while our crews troubleshoot a switch malfunction near Kew Gardens-Union Tpke.
10/23/2021,"QNS, N and W Trains, Some Delays",You may wait longer for a southbound N or W train while we conduct signal maintenance near Queensboro Plaza.
10/23/2021,"MANH, N and R Trains, Delays",Northbound N and R trains have resumed regular service with delays after our crews performed track maintenance near Cortlandt St.
